id,x,y,dd,v,d,t,s,r,p,c
8670640,13.748332,100.470047,2014-09-07,ไม่ระบุพาหนะ,14100480,0:00,K,0,0,0
8670170,13.740366,100.539686,2014-06-15,ไม่ระบุพาหนะ,14027904,0:00,K,0,0,0
8671356,13.706589,100.355522,2014-06-13,ไม่ระบุพาหนะ,14026176,0:00,K,0,0,0
8671303,13.806435,100.596851,2014-08-17,ไม่ระบุพาหนะ,14082336,0:00,K,0,0,0
8671478,13.704931,100.48584,2014-05-06,ไม่ระบุพาหนะ,13993344,0:00,K,0,0,0
8670286,13.69807,100.604651,2014-10-06,ไม่ระบุพาหนะ,14125536,0:00,K,0,0,0
8671366,13.655676,100.499727,2014-07-28,ไม่ระบุพาหนะ,14065056,0:00,K,0,0,0
8670257,13.908977,100.749795,2014-10-08,ไม่ระบุพาหนะ,14127264,0:00,K,0,0,0
8670971,13.880408,100.588499,2014-06-20,ไม่ระบุพาหนะ,14032224,0:00,K,0,0,0
8671486,13.705207,100.467737,2014-07-22,ไม่ระบุพาหนะ,14059872,0:00,K,0,0,0
8670264,13.755285,100.754954,2014-11-01,ไม่ระบุพาหนะ,14148000,0:00,K,0,0,0
8671304,13.789121,100.599135,2014-09-08,ไม่ระบุพาหนะ,14101344,0:00,K,0,0,0
8671415,13.722306,100.746739,2014-05-31,ไม่ระบุพาหนะ,14014944,0:00,K,0,0,0
8670284,13.71096939,100.6924749,2014-09-14,ไม่ระบุพาหนะ,14106528,0:00,K,0,0,0
8671376,13.81748,100.645112,2014-11-15,ไม่ระบุพาหนะ,14160096,0:00,K,0,0,0
8671549,13.759419,100.647512,2014-10-21,ไม่ระบุพาหนะ,14138496,0:00,K,0,0,0
8670252,13.874692,100.883319,2014-08-02,ไม่ระบุพาหนะ,14069376,0:00,K,0,0,0
8670174,13.7665,100.485212,2014-07-27,ไม่ระบุพาหนะ,14064192,0:00,K,0,0,0
8670160,13.673197,100.538818,2014-05-08,ไม่ระบุพาหนะ,13995072,0:00,K,0,0,0
8671297,13.779825,100.630159,2014-06-10,ไม่ระบุพาหนะ,14023584,0:00,K,0,0,0
8670245,13.80295,100.722098,2014-05-29,ไม่ระบุพาหนะ,14013216,0:00,K,0,0,0
8670645,13.768064,100.477501,2014-10-18,ไม่ระบุพาหนะ,14135904,0:00,K,0,0,0
8670175,13.740886,100.642405,2014-07-08,ไม่ระบุพาหนะ,14047776,0:00,K,0,0,0
8670262,13.868266,100.806719,2014-10-19,ไม่ระบุพาหนะ,14136768,0:00,K,0,0,0
8670167,13.816036,100.575377,2014-06-05,ไม่ระบุพาหนะ,14019264,0:00,K,0,0,0
8671325,13.676886,100.65733,2014-10-08,ไม่ระบุพาหนะ,14127264,0:00,K,0,0,0
8671378,13.777676,100.662408,2014-12-16,ไม่ระบุพาหนะ,14186880,0:00,K,0,0,0
8670288,13.71779,100.697571,2014-10-17,ไม่ระบุพาหนะ,14135040,0:00,K,0,0,0
8670192,13.785409,100.546627,2014-11-18,ไม่ระบุพาหนะ,14162688,0:00,K,0,0,0
8670261,13.792447,100.598526,2014-10-30,ไม่ระบุพาหนะ,14146272,0:00,K,0,0,0
8670271,13.843081,100.856316,2014-12-21,ไม่ระบุพาหนะ,14191200,0:00,K,0,0,0
8670629,13.710244,100.477571,2014-05-01,ไม่ระบุพาหนะ,13989024,0:00,K,0,0,0
8670258,13.792009,100.683257,2014-10-10,ไม่ระบุพาหนะ,14128992,0:00,K,0,0,0
8670166,13.749943,100.541129,2014-06-01,ไม่ระบุพาหนะ,14015808,0:00,K,0,0,0
8672697,13.925663,100.604492,2014-12-17,ไม่ระบุพาหนะ,14187744,0:00,K,0,0,0
8671756,13.7154377,100.6447747,2014-10-01,ไม่ระบุพาหนะ,14121216,0:00,K,0,0,0
8670239,13.730558,100.71933,2014-05-02,ไม่ระบุพาหนะ,13989888,0:00,K,0,0,0
8670243,13.855832,100.852941,2014-05-23,ไม่ระบุพาหนะ,14008032,0:00,K,0,0,0
8671331,13.807097,100.727153,2014-05-19,ไม่ระบุพาหนะ,14004576,0:00,K,0,0,0
8671322,13.671394,100.615196,2014-06-29,ไม่ระบุพาหนะ,14040000,0:00,K,0,0,0
8670172,13.735065,100.597816,2014-06-25,ไม่ระบุพาหนะ,14036544,0:00,K,0,0,0
8671342,13.614277,100.402716,2014-06-01,ไม่ระบุพาหนะ,14015808,0:00,K,0,0,0
8670187,13.718538,100.452363,2014-10-04,ไม่ระบุพาหนะ,14123808,0:00,K,0,0,0
8672720,13.682578,100.518139,2014-12-22,ไม่ระบุพาหนะ,14192064,0:00,K,0,0,0
8671565,13.71376,100.699942,2014-11-25,ไม่ระบุพาหนะ,14168736,0:00,K,0,0,0
8671344,13.641399,100.432463,2014-07-14,ไม่ระบุพาหนะ,14052960,0:00,K,0,0,0
8671323,13.66725,100.63569,2014-08-27,ไม่ระบุพาหนะ,14090976,0:00,K,0,0,0
8670196,13.767527,100.587704,2014-12-11,ไม่ระบุพาหนะ,14182560,0:00,K,0,0,0
8670268,13.792623,100.702119,2014-12-07,ไม่ระบุพาหนะ,14179104,0:00,K,0,0,0
8672462,13.779436,100.640604,2014-09-24,ไม่ระบุพาหนะ,14115168,0:00,K,0,0,0
8671367,13.684706,100.486999,2014-08-31,ไม่ระบุพาหนะ,14094432,0:00,K,0,0,0
8671386,13.723668,100.579427,2014-08-20,ไม่ระบุพาหนะ,14084928,0:00,K,0,0,0
8670981,13.887635,100.568973,2014-11-12,ไม่ระบุพาหนะ,14157504,0:00,K,0,0,0
8671392,13.778917,100.622406,2014-12-01,ไม่ระบุพาหนะ,14173920,0:00,K,0,0,0
8671320,13.753032,100.532339,2014-09-24,ไม่ระบุพาหนะ,14115168,0:00,K,0,0,0
8671583,13.701591,100.688006,2014-11-29,ไม่ระบุพาหนะ,14172192,0:00,K,0,0,0
8671348,13.613776,100.405645,2014-12-07,ไม่ระบุพาหนะ,14179104,0:00,K,0,0,0
8670176,13.858216,100.627395,2014-08-03,ไม่ระบุพาหนะ,14070240,0:00,K,0,0,0
8671488,13.714436,100.504888,2014-08-03,ไม่ระบุพาหนะ,14070240,0:00,K,0,0,0
8670161,13.921808,100.645894,2014-05-15,ไม่ระบุพาหนะ,14001120,0:00,K,0,0,0
8670980,13.81191,100.783508,2014-11-08,ไม่ระบุพาหนะ,14154048,0:00,K,0,0,0
8671361,13.700191,100.37725,2014-12-18,ไม่ระบุพาหนะ,14188608,0:00,K,0,0,0
8671551,13.770948,100.483867,2014-12-29,ไม่ระบุพาหนะ,14198112,0:00,K,0,0,0
8670219,13.803659,100.721832,2014-07-30,ไม่ระบุพาหนะ,14066784,0:00,K,0,0,0
8670169,13.741176,100.502607,2014-05-28,ไม่ระบุพาหนะ,14012352,0:00,K,0,0,0
8671390,13.799401,100.585433,2014-09-05,ไม่ระบุพาหนะ,14098752,0:00,K,0,0,0
8671343,13.659229,100.442301,2014-06-14,ไม่ระบุพาหนะ,14027040,0:00,K,0,0,0
8671358,13.701807,100.340934,2014-08-09,ไม่ระบุพาหนะ,14075424,0:00,K,0,0,0
8671345,13.634042,100.424351,2014-08-04,ไม่ระบุพาหนะ,14071104,0:00,K,0,0,0
8671416,13.736337,100.789,2014-06-24,ไม่ระบุพาหนะ,14035680,0:00,K,0,0,0
8671321,13.660711,100.61013,2014-05-16,ไม่ระบุพาหนะ,14001984,0:00,K,0,0,0
8670180,13.722696,100.491799,2014-08-29,ไม่ระบุพาหนะ,14092704,0:00,K,0,0,0
8670630,13.694546,100.407701,2014-05-10,ไม่ระบุพาหนะ,13996800,0:00,K,0,0,0
8672785,13.753016,100.531894,2014-11-14,ไม่ระบุพาหนะ,14159232,0:00,K,0,0,0
8671581,13.757623,100.776215,2014-07-04,ไม่ระบุพาหนะ,14044320,0:00,K,0,0,0
8671391,13.778553,100.576987,2014-11-08,ไม่ระบุพาหนะ,14154048,0:00,K,0,0,0
8672156,13.814347,100.67691,2014-09-13,ไม่ระบุพาหนะ,14105664,0:00,K,0,0,0
8671424,13.684175,100.615495,2014-10-04,ไม่ระบุพาหนะ,14123808,0:00,K,0,0,0
